app_name,Count,release_date
Commander Keen,1,1990
Team Fortress Classic,3,1999
Sven Co-op,2,1999
Half-Life: Opposing Force,1,1999
Deus Ex: Game of the Year Edition,2,2000
X: Tension,1,2000
Daikatana,1,2000
STAR WARS™ Galactic Battlegrounds Saga,1,2001
World War III: Black Gold,1,2001
Heli Heroes,1,2002
Stronghold Crusader HD,1,2002
EVE Online,3,2003
STAR WARS™ - Knights of the Old Republic™,2,2003
Enclave,2,2003
Half-Life 2,6,2004
Counter-Strike: Source,3,2004
Port Royale 2,1,2004
Grand Theft Auto: San Andreas,3,2005
"Star Wars: Battlefront 2 (Classic, 2005)",2,2005
Serious Sam 2,1,2005
Garry's Mod,29,2006
Toribash,5,2006
The Ship: Murder Party,1,2006
Team Fortress 2,59,2007
Blockland,4,2007
Fortress Forever,2,2007
Space Trader: Merchant Marine,2,2008
SPORE™,2,2008
Command & Conquer: Red Alert 3,1,2008
Bad Rats: the Rats' Revenge,11,2009
Left 4 Dead 2,6,2009
Half-Life: Before,6,2009
Just Cause 2,6,2010
Poker Night at the Inventory,6,2010
Star Trek Online,5,2010
APB Reloaded,16,2011
No More Room in Hell,10,2011
Spiral Knights,7,2011
Counter-Strike: Global Offensive,126,2012
Realm of the Mad God,21,2012
Ace of Spades: Battle Builder,20,2012
DayZ,96,2013
Rust,55,2013
Tactical Intervention,23,2013
Loadout,27,2014
Call of Duty®: Ghosts,26,2014
theHunter Classic,24,2014
Call of Duty®: Black Ops III,37,2015
Grand Theft Auto V,21,2015
Batman™: Arkham Knight,18,2015
No Man's Sky,74,2016
Heroes & Generals,36,2016
Starbound,9,2016
Unturned,45,2017
Robocraft,37,2017
ARK: Survival Evolved,36,2017
