item_id,genres,app_name,release_date
761140,Action,Lost Summoner Kitty,2018
761140,Casual,Lost Summoner Kitty,2018
761140,Indie,Lost Summoner Kitty,2018
761140,Simulation,Lost Summoner Kitty,2018
761140,Strategy,Lost Summoner Kitty,2018
643980,Free to Play,Ironbound,2018
643980,Indie,Ironbound,2018
643980,RPG,Ironbound,2018
643980,Strategy,Ironbound,2018
670290,Casual,Real Pool 3D - Poolians,2017
670290,Free to Play,Real Pool 3D - Poolians,2017
670290,Indie,Real Pool 3D - Poolians,2017
670290,Simulation,Real Pool 3D - Poolians,2017
670290,Sports,Real Pool 3D - Poolians,2017
767400,Action,弹炸人2222,2017
767400,Adventure,弹炸人2222,2017
767400,Casual,弹炸人2222,2017
772540,Action,Battle Royale Trainer,2018
772540,Adventure,Battle Royale Trainer,2018
772540,Simulation,Battle Royale Trainer,2018
774276,Free to Play,SNOW - All Access Basic Pass,2018
774276,Indie,SNOW - All Access Basic Pass,2018
774276,Simulation,SNOW - All Access Basic Pass,2018
774276,Sports,SNOW - All Access Basic Pass,2018
774277,Free to Play,SNOW - All Access Pro Pass,2018
774277,Indie,SNOW - All Access Pro Pass,2018
774277,Simulation,SNOW - All Access Pro Pass,2018
774277,Sports,SNOW - All Access Pro Pass,2018
774278,Free to Play,SNOW - All Access Legend Pass,2018
774278,Indie,SNOW - All Access Legend Pass,2018
774278,Simulation,SNOW - All Access Legend Pass,2018
774278,Sports,SNOW - All Access Legend Pass,2018
768800,Casual,Race,2018
768800,Indie,Race,2018
768800,Racing,Race,2018
768800,Simulation,Race,2018
770380,Action,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018
770380,Adventure,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018
770380,Casual,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018
770380,Indie,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018
770380,RPG,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018
768880,Casual,Beach Rules,2018
768880,Indie,Beach Rules,2018
765320,Casual,Planetarium 2 - Zen Odyssey,2018
765320,Indie,Planetarium 2 - Zen Odyssey,2018
765320,Simulation,Planetarium 2 - Zen Odyssey,2018
773650,Adventure,The first thrust of God,2018
773650,Casual,The first thrust of God,2018
773650,Indie,The first thrust of God,2018
773650,Simulation,The first thrust of God,2018
773650,Strategy,The first thrust of God,2018
774271,Free to Play,SNOW - Starter Pack,2018
774271,Indie,SNOW - Starter Pack,2018
774271,Simulation,SNOW - Starter Pack,2018
774271,Sports,SNOW - Starter Pack,2018
